idx	code	taken_at	url	caption
11	DT4OIY6k5lr	1769225529	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621348142_17844497943677949_3569106106614146865_n.webp?stp=dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=sk0zlJi3R5UQ7kNvwGecJEd&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af5QbK5-hQzlnwYkM01hWvH1FjkmwTGJJOKJPClsqcRiww&oe=69FBC8C3&_nc_sid=ee9879	Life is a colorful experiment. Enjoying the small wins today.
12	DT4OGruEwqD	1769225516	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621172056_17844497835677949_837130656155510242_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFOVQ9ifVzoPbanKNcpCMhBjYzt8AK1jTsbSf9mCFVx5OApaj7LevFwNq0He-8auoY&_nc_ohc=OEj7Rb6wpcMQ7kNvwFvG7E6&_nc_gid=_WEfTNUuKxOxNg0SLJZexw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af5aN8XTXNORVA0YxvXX4KjoB1PHWJuIdt28-fQP1Vzr9g&oe=69FBD002&_nc_sid=ee9879	The quiet before the storm. This hallway has seen every step of my journey. 🧪
13	DT4NoDgE_zY	1769225264	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621396226_17844496851677949_1049754335076095454_n.webp?stp=c0.147.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=b2FKIz9EM0gQ7kNvwGgV3j7&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af4cn-YzPTcfouXCVaXnjxV0qaGVt1sSUyXQxD0HgeWr4g&oe=69FBB93C&_nc_sid=ee9879	Weekend mornings are for pancakes and reflecting on the past. Time flies, but some things never change.
14	DT4NeksE-h8	1769225187	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/620965226_17844496740677949_4338652637428318435_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=a0FzR-1JT_IQ7kNvwEKbeDF&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af46FnNUGJAEDgx406je4vggzLz5hr2uTYGbLlJyxRsJFQ&oe=69FBD025&_nc_sid=ee9879	The beginning of it all. This is where the first 'step' was taken. Proud of how far we've come. 🎓
15	DT4Nbd1k30S	1769225162	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/622125183_17844496671677949_5998422119936420247_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=8R28-pUkaLIQ7kNvwG1Ts_j&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af4wjWHh0yCpDf1wJGKuLXxIWqtmWt0TdoTL-QBdMaz6GA&oe=69FBB9E2&_nc_sid=ee9879	Fueling up for the final lecture. The sequence is almost complete. #AcademicLife
16	DT4NVQ5k2JM	1769225111	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621551788_17844496551677949_4841341174390922188_n.webp?stp=c0.180.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=V3IFGh7Q-WUQ7kNvwFv4lo8&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af5Id-VAShrMOr05M943LZIq9qp12C2i4TtnCnUAQYvwMQ&oe=69FBB255&_nc_sid=ee9879	So many stories, so little time. But remember, the most important history is the one we leave behind. 📚
17	DT4NS6Gk7mW	1769225092	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621796009_17844496503677949_5169198272173160142_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=nCcswGrMztoQ7kNvwG0Eid0&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af4Ue-je96YyO-2Ii0gh2mu0mR7Aefpt_7U7-9vqfCqPHQ&oe=69FBB92A&_nc_sid=ee9879	Moving forward, but always looking back at the trail I've left. The view from above gives a different perspective.
18	DT4NKZbE9Ve	1769225021	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621452363_17844496389677949_6179968464044740859_n.webp?stp=c0.180.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=irdyRBnvJeEQ7kNvwGieQEg&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af71GS92J83ibLBVc3Uw4FVPg-yEvN29HiVp5jT2XTo5vw&oe=69FBB107&_nc_sid=ee9879	Late night revisions. Every commit, every edit, every note counts. The history is there if you know where to look. ✍️
19	DT4NF9Ik6or	1769224985	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/620982643_17844496344677949_740396392956335275_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=8X3jzGbLaloQ7kNvwH6xyNi&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af7E7_pRUfKsw03jUg4bHn2TYRbOifazSWZ8aUJXC8sJfQ&oe=69FBB59E&_nc_sid=ee9879	Sharing the vision. Information is only powerful if you know how to decode it.
20	DT4M-CHk8b5	1769224921	https://scontent-cgk1-1.cdninstagram.com/v/t51.82787-15/621726203_17844496227677949_6137163961831416956_n.webp?stp=c0.239.1440.1440a_dst-jpg_e35_s1080x1080_sh2.08_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHd_qmQOJFrlQTpsPkHhFOvxTtuvcQvZwxq6V8o9rzNL4kEUplx0fTeqlL3-gu0In8&_nc_ohc=osWVf6mXiXUQ7kNvwFgvCa2&_nc_gid=YPZnPgjEbSlg1tbwWA3HHw&edm=ACWDqb8BAAAA&ccb=7-5&oh=00_Af77dfRtB2LHkevKxEwCo1DUOXS1l1JdZRTh2veNdxrG8A&oe=69FBA351&_nc_sid=ee9879	Today breakfast yumm, Simple pleasures. Ending the week on a sweet note before diving back into the archives.
